User,Tweet Count,Tweet Text,Date,Compound,Positive,Neutral,Negative
@CBS,3,Go backstage with the celebs and see which stars celebrated the big night together! Here are the moments you missed… https://t.co/rgQTXRQyLg,2018-02-02 17:23:18+00:00,0.6114,0.166,0.0,0.834
@CBS,4,? @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02,2018-02-01 22:04:41+00:00,0.0,0.0,0.0,1.0
@CBS,5,"? @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG",2018-02-01 20:09:49+00:00,0.0,0.0,0.0,1.0
@CBS,6,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu",2018-01-31 21:42:15+00:00,0.1139,0.088,0.0,0.912
@CBS,7,RT @survivorcbs: Get excited! ? It’s finally time to meet the castaways of #Survivor: Ghost Island ? https://t.co/xQQ8ROhKbM https://t.co/P…,2018-01-31 17:05:47+00:00,0.1007,0.135,0.115,0.75
@CBS,8,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd",2018-01-31 16:37:17+00:00,0.4588,0.188,0.0,0.812
@CBS,9,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX,2018-01-31 06:55:30+00:00,0.1779,0.126,0.095,0.779
@CBS,10,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials",2018-01-31 02:15:16+00:00,-0.2263,0.179,0.252,0.569
@CBS,11,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so",2018-01-31 01:58:40+00:00,-0.4767,0.0,0.256,0.744
@CBS,12,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one.",2018-01-31 01:52:46+00:00,0.4939,0.256,0.119,0.625
@CBS,13,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy",2018-01-31 01:49:43+00:00,0.5093,0.19,0.0,0.81
@CBS,14,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials,2018-01-31 01:31:27+00:00,0.8261,0.434,0.0,0.566
@CBS,15,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!,2018-01-31 01:29:10+00:00,0.8309,0.414,0.0,0.586
@CBS,16,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials,2018-01-31 01:24:16+00:00,0.6588,0.386,0.0,0.614
@CBS,17,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk,2018-01-31 01:18:37+00:00,-0.5106,0.0,0.398,0.602
@CBS,18,RT @MsLindsieStarr: That dang goat! #Doritos #superbowlcommercials,2018-01-31 01:17:37+00:00,0.0,0.0,0.0,1.0
@CBS,19,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug,2018-01-31 01:16:15+00:00,0.7525,0.349,0.0,0.651
@CBS,20,RT @swatcbs: ?@TheTalkCBS' @TheRealEve and @ShemarMoore brought some serious heat to the GRAMMYs red carpet: https://t.co/WYTITKkLQd https:…,2018-02-02 22:36:13+00:00,-0.0772,0.0,0.075,0.925
@CBS,21,"The all-star collaboration between @Rihanna, @DJKhaled and @brysontiller brought the party to the #GRAMMYs with a s… https://t.co/jTv5QbtgUp",2018-02-02 20:07:40+00:00,0.4019,0.144,0.0,0.856
@CBS,22,RT @TheTalkCBS: All the #redcarpet looks from the 60th annual #GRAMMYs! Did you catch @TheRealEve's sparkly two-piece suit? Diamond accents…,2018-02-02 19:03:33+00:00,0.4003,0.124,0.0,0.876
@CBS,23,Go backstage with the celebs and see which stars celebrated the big night together! Here are the moments you missed… https://t.co/rgQTXRQyLg,2018-02-02 17:23:18+00:00,0.6114,0.166,0.0,0.834
@CBS,24,? @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02,2018-02-01 22:04:41+00:00,0.0,0.0,0.0,1.0
@CBS,25,"? @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG",2018-02-01 20:09:49+00:00,0.0,0.0,0.0,1.0
@CBS,26,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu",2018-01-31 21:42:15+00:00,0.1139,0.088,0.0,0.912
@CBS,27,RT @survivorcbs: Get excited! ? It’s finally time to meet the castaways of #Survivor: Ghost Island ? https://t.co/xQQ8ROhKbM https://t.co/P…,2018-01-31 17:05:47+00:00,0.1007,0.135,0.115,0.75
@CBS,28,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd",2018-01-31 16:37:17+00:00,0.4588,0.188,0.0,0.812
@CBS,29,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX,2018-01-31 06:55:30+00:00,0.1779,0.126,0.095,0.779
@CBS,30,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials",2018-01-31 02:15:16+00:00,-0.2263,0.179,0.252,0.569
@CBS,31,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so",2018-01-31 01:58:40+00:00,-0.4767,0.0,0.256,0.744
@CBS,32,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one.",2018-01-31 01:52:46+00:00,0.4939,0.256,0.119,0.625
@CBS,33,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy",2018-01-31 01:49:43+00:00,0.5093,0.19,0.0,0.81
@CBS,34,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials,2018-01-31 01:31:27+00:00,0.8261,0.434,0.0,0.566
@CBS,35,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!,2018-01-31 01:29:10+00:00,0.8309,0.414,0.0,0.586
@CBS,36,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials,2018-01-31 01:24:16+00:00,0.6588,0.386,0.0,0.614
@CBS,37,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk,2018-01-31 01:18:37+00:00,-0.5106,0.0,0.398,0.602
@CBS,38,RT @MsLindsieStarr: That dang goat! #Doritos #superbowlcommercials,2018-01-31 01:17:37+00:00,0.0,0.0,0.0,1.0
@CBS,39,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug,2018-01-31 01:16:15+00:00,0.7525,0.349,0.0,0.651
@CBS,40,RT @dRoy: Homework will take a break for now. #superbowlcommercials on cbs is on ?,2018-01-31 01:08:01+00:00,0.0,0.0,0.0,1.0
@CBS,41,RT @Mixxxalv: Watching #superbowlcommercials let the best win!,2018-01-31 01:04:34+00:00,0.8516,0.58,0.0,0.42
@CBS,42,Super Bowl Greatest Commercials 2018 hosts @7BOOMERESIASON and @DanielaRuah are moments away from announcing the tw… https://t.co/cKM1WXPc9u,2018-01-31 01:00:35+00:00,0.8442,0.351,0.0,0.649
